timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/05 14:33:44.006, 0, 0, 0, 148526, 183359, 156.43
2026/03/05 14:33:44.035, 0, 0, 0, 148526, 183359, 156.47
2026/03/05 14:33:45.066, 0, 0, 0, 148526, 183359, 156.42
2026/03/05 14:33:46.099, 0, 0, 0, 148526, 183359, 156.45
2026/03/05 14:33:47.132, 0, 0, 0, 148526, 183359, 156.61
2026/03/05 14:33:48.162, 0, 0, 0, 148526, 183359, 156.57
2026/03/05 14:33:49.193, 0, 0, 0, 148526, 183359, 156.61
2026/03/05 14:33:50.223, 0, 0, 0, 148526, 183359, 156.54
2026/03/05 14:33:51.255, 0, 0, 0, 148526, 183359, 156.52
2026/03/05 14:33:52.285, 0, 0, 0, 148526, 183359, 156.51
2026/03/05 14:33:53.317, 0, 0, 0, 148526, 183359, 156.51
2026/03/05 14:33:54.347, 0, 0, 0, 148526, 183359, 156.60
2026/03/05 14:33:55.376, 0, 10, 2, 148526, 183359, 176.20
2026/03/05 14:33:56.407, 0, 16, 3, 148526, 183359, 183.33
2026/03/05 14:33:57.438, 0, 12, 3, 148526, 183359, 180.78
2026/03/05 14:33:58.467, 0, 13, 3, 148526, 183359, 178.92
2026/03/05 14:33:59.496, 0, 13, 3, 148526, 183359, 177.90
2026/03/05 14:34:00.525, 0, 13, 3, 148526, 183359, 187.37
2026/03/05 14:34:01.554, 0, 23, 4, 148526, 183359, 191.45
2026/03/05 14:34:02.584, 0, 14, 4, 148526, 183359, 182.41
2026/03/05 14:34:03.616, 0, 15, 4, 148526, 183359, 196.66
2026/03/05 14:34:04.645, 0, 20, 5, 148526, 183359, 195.25
2026/03/05 14:34:05.675, 0, 15, 5, 148526, 183359, 194.21
2026/03/05 14:34:06.702, 0, 16, 5, 148526, 183359, 192.03
2026/03/05 14:34:07.732, 0, 16, 5, 148526, 183359, 195.69
2026/03/05 14:34:08.760, 0, 16, 5, 148526, 183359, 197.29
2026/03/05 14:34:09.789, 0, 17, 5, 148526, 183359, 199.93
2026/03/05 14:34:10.820, 0, 17, 5, 148526, 183359, 195.11
2026/03/05 14:34:11.850, 0, 21, 5, 148526, 183359, 200.24
2026/03/05 14:34:12.880, 0, 26, 6, 148526, 183359, 207.02
2026/03/05 14:34:13.908, 0, 17, 5, 148526, 183359, 206.79
2026/03/05 14:34:14.938, 0, 17, 5, 148526, 183359, 205.14
2026/03/05 14:34:15.966, 0, 17, 5, 148526, 183359, 197.74
2026/03/05 14:34:16.995, 0, 26, 6, 148526, 183359, 211.41
2026/03/05 14:34:18.022, 0, 18, 6, 148526, 183359, 213.49
2026/03/05 14:34:19.053, 0, 18, 6, 148526, 183359, 206.18
2026/03/05 14:34:20.084, 0, 19, 6, 148526, 183359, 220.54
2026/03/05 14:34:21.114, 0, 20, 6, 148526, 183359, 212.08
2026/03/05 14:34:22.145, 0, 19, 6, 148526, 183359, 206.84
2026/03/05 14:34:23.175, 0, 20, 6, 148526, 183359, 223.87
2026/03/05 14:34:24.206, 0, 20, 6, 148526, 183359, 227.34
2026/03/05 14:34:25.235, 0, 25, 7, 148526, 183359, 227.10
2026/03/05 14:34:26.265, 0, 21, 7, 148526, 183359, 221.02
2026/03/05 14:34:27.293, 0, 22, 7, 148526, 183359, 216.12
2026/03/05 14:34:28.327, 0, 21, 7, 148526, 183359, 219.71
2026/03/05 14:34:29.354, 0, 22, 7, 148526, 183359, 225.04
2026/03/05 14:34:30.383, 0, 22, 7, 148526, 183359, 216.02
2026/03/05 14:34:31.412, 0, 22, 7, 148526, 183359, 217.57
2026/03/05 14:34:32.443, 0, 23, 7, 148526, 183359, 235.55
