test,sum_gbps
host_to_device_memcpy_ce,55.57
device_to_host_memcpy_ce,57.39
host_to_device_bidirectional_memcpy_ce,49.59
device_to_host_bidirectional_memcpy_ce,50.83
all_to_host_memcpy_ce,57.39
all_to_host_bidirectional_memcpy_ce,50.84
host_to_all_memcpy_ce,55.57
host_to_all_bidirectional_memcpy_ce,49.62
host_to_device_memcpy_sm,51.68
device_to_host_memcpy_sm,52.85
host_to_device_bidirectional_memcpy_sm,40.64
device_to_host_bidirectional_memcpy_sm,40.58
all_to_host_memcpy_sm,52.85
all_to_host_bidirectional_memcpy_sm,40.62
host_to_all_memcpy_sm,51.68
host_to_all_bidirectional_memcpy_sm,40.62
host_device_latency_sm,1496.96
device_local_copy,2714.04
