label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node2_gpu1,256,4096,4096,bf16,268.44,234.36,243.48,0.0320,0.0377,0.0353,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,2304,4096,4096,bf16,946.31,907.93,912.19,0.0817,0.0852,0.0848,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,4352,4096,4096,bf16,1146.30,1094.55,1092.53,0.1274,0.1335,0.1337,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,6400,4096,4096,bf16,1216.40,1181.90,1183.89,0.1765,0.1817,0.1814,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,8448,4096,4096,bf16,1377.23,1352.68,1352.12,0.2058,0.2096,0.2096,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,10496,4096,4096,bf16,1419.38,1394.82,1395.97,0.2481,0.2525,0.2523,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,12544,4096,4096,bf16,1448.76,1425.82,1427.23,0.2905,0.2952,0.2949,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,14592,4096,4096,bf16,1521.86,1499.08,1505.62,0.3217,0.3267,0.3252,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,16640,4096,4096,bf16,1547.38,1522.99,1522.94,0.3608,0.3666,0.3666,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,18688,4096,4096,bf16,1618.95,1588.14,1590.70,0.3873,0.3949,0.3942,NVIDIA GB200,2062,3996,1950,3996
