label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node1_gpu2,256,4096,4096,bf16,268.17,234.28,243.15,0.0320,0.0375,0.0353,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,2304,4096,4096,bf16,1114.35,1057.26,1077.57,0.0694,0.0733,0.0717,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,4352,4096,4096,bf16,1143.71,1114.03,1114.93,0.1277,0.1311,0.1310,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,6400,4096,4096,bf16,1432.11,1361.47,1361.24,0.1500,0.1579,0.1578,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,8448,4096,4096,bf16,1623.30,1534.11,1554.51,0.1746,0.1851,0.1824,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,10496,4096,4096,bf16,1433.80,1406.87,1411.91,0.2456,0.2504,0.2494,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,12544,4096,4096,bf16,1499.30,1475.58,1478.65,0.2807,0.2853,0.2847,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,14592,4096,4096,bf16,1737.35,1673.58,1675.98,0.2818,0.2927,0.2921,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,16640,4096,4096,bf16,1596.08,1567.29,1573.20,0.3498,0.3563,0.3549,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,18688,4096,4096,bf16,1608.45,1577.54,1576.81,0.3899,0.3975,0.3977,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,256,4096,4096,bf16,250.17,220.41,229.04,0.0343,0.0401,0.0375,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,2304,4096,4096,bf16,929.91,894.38,899.62,0.0831,0.0866,0.0859,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,4352,4096,4096,bf16,1081.89,1057.49,1063.98,0.1350,0.1382,0.1372,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,6400,4096,4096,bf16,1398.10,1351.10,1360.82,0.1536,0.1591,0.1578,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,8448,4096,4096,bf16,1578.47,1539.54,1550.17,0.1796,0.1842,0.1829,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,10496,4096,4096,bf16,1402.38,1364.19,1365.49,0.2511,0.2583,0.2579,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,12544,4096,4096,bf16,1383.40,1354.16,1355.11,0.3043,0.3109,0.3106,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,14592,4096,4096,bf16,1672.77,1602.39,1594.25,0.2927,0.3058,0.3071,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,16640,4096,4096,bf16,1389.31,1364.43,1367.26,0.4019,0.4093,0.4084,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,18688,4096,4096,bf16,1505.98,1479.94,1479.37,0.4164,0.4238,0.4239,NVIDIA GB200,2062,3996,1950,3996
